,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-04-29,26.07,23.19,39.84,35.95,121.0,44.02,36.96,24.44,17.94,41.54,23.38,35.3,120.09,26.73,28.04,45.26,10.62,26.14,11.17,79.79,20.32,32.35,18.58,50.9,13.96,23.92,95.47,57.48,18.34,23.39,29.03,38.41,30.16,29.63,8.53,23.3,18.11,23.17,15.75,20.5,17.08,5.21,8.85,77.89,43.76,65.4,34.07,28.1,47.18,33.84,10.88,5.49,5.37,14.02,60.71,31.63,46.77,18.13,37.73,16.73
2009-04-30,25.75,23.44,39.03,35.5,121.67,43.42,37.8,24.37,17.95,41.15,24.62,34.96,121.33,26.42,28.3,45.22,10.99,25.86,11.11,80.52,20.96,32.32,18.73,50.97,14.16,23.94,94.71,56.24,18.38,23.29,29.95,37.49,31.86,30.21,8.78,22.8,17.99,23.16,16.37,20.61,16.54,5.72,8.96,78.72,42.91,64.95,36.33,29.06,45.71,33.4,11.24,5.42,5.56,14.29,59.14,30.28,45.81,18.19,37.51,16.42
2009-05-01,26.69,22.58,39.41,36.53,123.03,43.44,40.19,24.25,17.94,41.66,25.52,34.45,119.99,27.49,28.39,44.91,11.03,26.41,11.29,78.96,20.14,32.3,18.47,51.22,14.99,23.96,95.99,56.89,18.01,23.27,30.4,38.84,33.36,32.04,8.55,22.8,18.82,22.67,16.27,20.69,17.21,5.44,9.11,78.73,42.96,67.48,37.44,29.26,46.33,33.9,11.46,5.48,5.86,14.14,60.32,29.81,45.05,18.44,38.28,16.5
2009-05-04,27.55,25.35,40.54,37.39,127.7,42.84,42.65,24.52,17.89,42.15,26.7,35.83,126.68,27.88,28.38,45.61,11.38,27.23,11.63,79.77,21.33,32.89,18.78,51.75,15.25,24.4,97.44,56.73,22.27,24.55,30.19,39.95,34.45,32.83,10.2,24.12,20.14,23.06,16.64,21.37,18.21,5.62,9.48,81.14,44.26,66.44,38.18,30.27,47.77,34.48,11.88,5.78,5.97,14.18,60.49,32.84,45.36,18.36,38.77,17.4
2009-05-05,26.98,24.69,41.02,38.25,128.32,43.39,42.0,24.21,17.54,41.8,26.29,35.32,127.66,27.56,28.29,45.27,11.38,27.25,11.88,81.9,21.63,32.14,18.77,51.71,14.89,24.18,97.13,55.94,21.37,24.27,29.97,39.57,35.28,32.87,10.66,28.58,20.06,23.04,16.19,22.21,18.23,5.59,9.42,81.78,43.22,65.9,37.43,30.31,47.43,34.16,11.47,5.82,5.93,14.74,60.0,31.95,45.7,18.48,38.75,16.92
2009-05-06,27.77,25.22,41.09,39.57,128.12,43.38,43.42,24.6,17.54,42.69,27.25,35.08,131.46,27.47,28.1,44.42,11.88,27.74,11.7,81.99,21.56,32.91,18.68,52.33,14.66,24.42,96.5,57.95,24.7,24.01,30.12,40.32,35.81,33.52,12.48,30.4,20.57,22.91,16.59,22.02,18.88,5.99,9.57,83.07,44.13,66.56,37.09,30.88,47.98,33.73,11.5,5.93,6.08,14.85,60.83,34.15,46.15,18.47,38.95,17.12
2009-05-07,27.47,24.14,40.97,38.97,124.79,43.18,40.91,24.36,17.12,43.3,26.27,34.41,126.27,27.7,27.48,44.76,12.13,27.25,11.91,79.28,20.41,32.65,18.62,52.01,14.37,24.54,94.63,57.84,22.79,23.3,29.96,40.57,33.95,33.59,13.28,32.22,20.39,22.53,15.93,22.06,18.24,5.79,10.0,79.79,44.56,65.9,36.79,30.05,47.47,32.06,10.71,6.17,5.99,14.8,61.14,32.33,45.9,17.84,37.89,18.65
2009-05-08,29.46,26.4,41.66,41.03,124.91,43.41,41.25,24.49,17.21,43.5,26.62,36.03,131.81,27.68,28.26,44.99,12.63,27.94,12.11,77.95,21.28,32.71,18.67,53.17,14.43,25.14,93.62,59.88,25.93,23.69,30.27,42.33,35.49,34.84,13.93,33.21,20.76,22.44,15.68,22.49,19.42,5.97,10.16,78.73,44.76,68.2,36.95,29.89,49.43,32.2,10.46,6.84,6.08,15.15,62.8,35.73,47.21,17.64,39.21,18.98
2009-05-11,28.34,24.2,41.13,40.03,125.28,43.26,40.29,24.51,17.12,43.25,24.29,36.66,128.21,27.84,28.01,45.43,12.33,26.95,11.9,78.61,20.8,32.34,18.6,52.31,14.12,24.89,94.92,57.85,24.42,23.07,30.72,41.7,34.41,33.8,12.72,31.39,20.08,21.93,15.64,22.2,18.18,5.81,10.1,76.36,43.72,66.45,37.02,29.3,47.88,32.52,10.66,6.67,5.9,15.54,61.81,32.87,46.77,17.52,38.24,18.82
2009-05-12,28.55,23.65,41.31,39.48,120.3,42.99,40.35,25.35,17.63,43.46,24.33,36.73,127.86,28.41,28.31,45.67,11.89,26.84,12.56,77.93,20.19,32.93,19.31,52.68,13.92,24.97,95.88,58.87,23.65,23.47,31.08,42.51,34.08,34.83,12.05,29.91,19.46,21.68,15.25,22.38,17.61,4.79,9.77,76.62,44.21,67.5,37.22,29.54,48.92,32.48,10.84,6.57,5.57,15.1,63.19,32.44,46.4,17.63,38.32,19.57
2009-05-13,28.01,22.39,40.73,38.45,115.54,43.33,36.5,25.12,17.5,43.15,22.81,36.95,122.05,28.72,27.16,45.13,11.22,25.85,12.84,74.19,18.92,33.95,18.98,50.39,13.7,25.54,94.33,57.94,22.27,22.56,30.11,41.78,32.3,33.4,10.82,26.44,20.12,21.85,15.47,21.92,17.21,4.74,9.39,73.13,44.23,66.6,36.76,28.45,48.92,31.76,10.58,6.25,5.42,14.52,62.25,31.24,45.98,17.0,37.53,19.76
2009-05-14,28.1,22.98,40.58,38.89,118.88,44.39,37.44,25.48,17.78,42.32,23.37,37.21,126.15,28.4,27.14,44.29,11.33,26.26,12.9,75.11,19.22,34.2,19.53,51.27,13.61,25.41,93.21,57.73,23.64,22.85,30.1,41.6,32.29,33.16,11.12,30.4,19.85,21.58,15.9,22.11,17.74,4.93,9.38,73.11,44.09,66.88,37.45,28.56,49.39,32.43,10.57,6.25,5.75,14.76,62.25,32.61,46.05,17.03,37.88,19.87
2009-05-15,27.59,22.52,39.76,38.49,118.37,43.91,36.58,25.17,17.92,42.28,23.47,36.63,126.91,28.43,26.81,43.43,11.18,26.48,12.62,73.6,19.19,33.45,19.56,51.25,13.21,24.82,93.5,56.59,22.89,22.82,29.03,41.09,32.0,34.14,10.49,28.42,19.38,21.47,15.98,21.84,17.37,5.25,9.59,73.99,43.98,66.11,37.26,28.53,48.66,32.5,10.62,6.32,5.67,14.91,61.67,32.03,45.96,16.87,37.31,19.63
2009-05-18,28.59,24.29,38.95,39.72,122.46,44.65,40.42,25.67,18.25,43.58,24.03,38.08,135.17,28.87,27.64,45.03,11.71,26.23,12.78,75.95,19.99,33.82,20.04,52.41,13.89,25.44,96.47,56.72,24.78,23.91,29.54,42.87,33.82,34.12,11.53,30.24,20.5,22.89,16.22,22.07,17.46,5.26,10.31,76.04,45.59,66.62,37.8,28.91,49.06,33.17,10.93,6.46,5.95,15.17,62.91,34.18,46.59,17.63,37.0,20.23
2009-05-19,28.82,23.04,38.35,39.94,123.23,45.03,40.76,25.78,18.11,42.87,24.65,38.38,133.28,28.75,27.63,44.52,11.91,26.05,12.7,77.87,20.0,34.03,20.29,52.21,13.74,25.15,97.32,56.58,23.42,24.01,29.16,42.87,33.73,34.31,11.06,29.91,19.82,21.67,16.38,22.07,17.95,5.38,10.47,76.39,45.96,66.61,37.75,28.28,50.31,33.96,11.18,6.39,6.15,15.18,62.92,32.85,46.31,17.78,37.46,19.98
2009-05-20,29.01,22.29,38.59,39.91,121.7,45.42,40.44,26.05,18.17,43.04,24.67,38.44,128.83,28.61,27.26,44.15,11.97,26.11,12.71,77.97,19.78,34.32,20.45,51.95,13.62,25.7,95.98,56.02,22.51,23.89,28.12,43.39,33.4,34.66,11.3,29.41,19.37,20.97,16.67,21.89,18.02,5.17,10.44,75.85,46.89,68.21,37.64,28.0,50.57,32.19,10.82,6.47,6.28,14.96,62.11,31.7,48.36,17.51,38.14,20.4
